순위,곡명,아티스트
1,TOO BAD (feat. Anderson .Paak),G-DRAGON
2,모르시나요(PROD.로코베리),조째즈
3,like JENNIE,제니 (JENNIE)
4,Drowning,WOODZ
5,"HOME SWEET HOME (feat. 태양, 대성)",G-DRAGON
6,나는 반딧불,황가람
7,REBEL HEART,IVE (아이브)
8,Whiplash,aespa
9,오늘만 I LOVE YOU,BOYNEXTDOOR
10,APT.,로제 (ROSÉ)
11,Flower,오반(OVAN)
12,HAPPY,DAY6 (데이식스)
13,HOT,LE SSERAFIM (르세라핌)
14,ATTITUDE,IVE (아이브)
15,사랑은 늘 도망가,임영웅
16,toxic till the end,로제 (ROSÉ)
17,내게 사랑이 뭐냐고 물어본다면,로이킴
18,소나기,이클립스 (ECLIPSE)
19,PO￦ER,G-DRAGON
20,미치게 그리워서,황가람
21,I DO ME,KiiiKiii (키키)
22,한 페이지가 될 수 있게,DAY6 (데이식스)
23,우리들의 블루스,임영웅
24,천상연,이창섭
25,Welcome to the Show,DAY6 (데이식스)
26,TAKE ME,G-DRAGON
27,Die With A Smile,Lady Gaga
28,Supernova,aespa
29,예뻤어,DAY6 (데이식스)
30,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤)
31,청춘만화,이무진
32,온기,임영웅
33,다시 만날 수 있을까,임영웅
34,슬픈 초대장,순순희(지환)
35,DRIP,BABYMONSTER
36,모래 알갱이,임영웅
37,이제 나만 믿어요,임영웅
38,천국보다 아름다운,임영웅
39,MY LOVE(2025),이예은
40,Home,임영웅
41,UP (KARINA Solo),aespa
42,Love wins all,아이유
43,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection)
44,내 이름 맑음,QWER
45,청혼하지 않을 이유를 못 찾았어,이무진
46,"무제(無題) (Untitled, 2014)",G-DRAGON
47,무지개,임영웅
48,너의 모든 순간,성시경
49,고민중독,QWER
50,어제보다 슬픈 오늘,우디 (Woody)
51,사랑인가 봐,멜로망스
52,London Boy,임영웅
53,Do or Die,임영웅
54,첫 만남은 계획대로 되지 않아,TWS (투어스)
55,비의 랩소디,임재현
56,Dash,PLAVE
57,인생찬가,임영웅
58,Magnetic,아일릿(ILLIT)
59,How Sweet,NewJeans
60,주저하는 연인들을 위해,잔나비
61,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
62,에피소드,이무진
63,다정히 내 이름을 부르면,경서예지
64,The Chase,Hearts2Hearts (하츠투하츠)
65,나는 아픈 건 딱 질색이니까,(여자)아이들
66,헤어지자 말해요,박재정
67,Supersonic,프로미스나인
68,I AM,IVE (아이브)
69,Mantra,제니 (JENNIE)
70,이렇게 좋아해 본 적이 없어요,BOYNEXTDOOR
71,Seven (feat. Latto) - Clean Ver.,정국
72,인사,범진
73,봄날,방탄소년단
74,너와의 모든 지금,재쓰비 (JAESSBEE)
75,Small girl (feat. 도경수(D.O.)),이영지
76,RIZZ,PLAVE
77,Island,PLAVE
78,Hype Boy,NewJeans
79,미안해 미워해 사랑해,Crush
80,너에게 닿기를,10CM
81,취중고백,김민석
82,사막에서 꽃을 피우듯,우디 (Woody)
83,12:32 (A to T),PLAVE
84,보금자리,임영웅
85,Chroma Drift,PLAVE
86,Ditto,NewJeans
87,Sticky,KISS OF LIFE
88,Armageddon,aespa
89,숙녀에게,송필근
90,살기 위해서,순순희
91,해야 (HEYA),IVE (아이브)
92,녹아내려요,DAY6 (데이식스)
93,Sweet Dreams (feat. Miguel),j-hope
94,DRAMA,G-DRAGON
95,Supernatural,NewJeans
96,poppop,NCT WISH
97,Igloo,KISS OF LIFE
98,number one girl,로제 (ROSÉ)
99,earthquake,지수 (JISOO)
100,To. X,태연 (TAEYEON)
